,continent,country,population,new_cases,active_cases,critical,recovered,cases_1M_pop,total_cases,new_deaths,deaths_1M_pop,total_deaths,tests_1M_pop,total_tests,dday,dtime
1,Europe,Ireland,,0,0,,,,0,0,,0,,,29/02/2020,00:00:03+00:00
2,Europe,Ireland,,0,0,,,,0,0,,0,,,01/03/2020,00:00:03+00:01
3,Europe,Ireland,,1,1,,,,1,0,,0,,,02/03/2020,00:00:03+00:02
4,Europe,Ireland,,0,1,,,,1,0,,0,,,03/03/2020,00:00:03+00:03
5,Europe,Ireland,,1,2,,,,2,0,,0,,,04/03/2020,00:00:03+00:04
6,Europe,Ireland,,4,6,,,,6,0,,0,,,05/03/2020,00:00:03+00:05
7,Europe,Ireland,,7,13,,,,13,0,,0,,,06/03/2020,00:00:03+00:06
8,Europe,Ireland,,5,18,,,,18,0,,0,,,07/03/2020,00:00:03+00:07
9,Europe,Ireland,,1,19,,,,19,0,,0,,,08/03/2020,00:00:03+00:08
10,Europe,Ireland,,2,21,,,,21,0,,0,,,09/03/2020,00:00:03+00:09
11,Europe,Ireland,,3,24,,,,24,1,,1,,,10/03/2020,00:00:03+00:10
12,Europe,Ireland,,10,34,,,,34,0,,1,,,11/03/2020,00:00:03+00:11
13,Europe,Ireland,,9,43,,,,43,0,,1,,,12/03/2020,00:00:03+00:12
14,Europe,Ireland,,27,70,,,,70,0,,1,,,13/03/2020,00:00:03+00:13
15,Europe,Ireland,,20,90,,,,90,1,,2,,,14/03/2020,00:00:03+00:14
16,Europe,Ireland,,39,129,,,,129,0,,2,,,15/03/2020,00:00:03+00:15
17,Europe,Ireland,,40,169,,,,169,0,,2,,,16/03/2020,00:00:03+00:16
18,Europe,Ireland,,54,223,,,,223,0,,2,,,17/03/2020,00:00:03+00:17
19,Europe,Ireland,,69,292,,,,292,0,,2,,,18/03/2020,00:00:03+00:18
20,Europe,Ireland,,74,366,,,,366,0,,2,,,19/03/2020,00:00:03+00:19
21,Europe,Ireland,,191,557,,,,557,0,,2,,,20/03/2020,00:00:03+00:20
22,Europe,Ireland,,126,683,,,,683,0,,2,,,21/03/2020,00:00:03+00:21
23,Europe,Ireland,,102,777,13,5,159,785,1,,3,,,22/03/2020,03:15:05+00:00
24,Europe,Ireland,,121,897,29,5,183,906,1,,4,,,23/03/2020,18:15:08+00:00
25,Europe,Ireland,,219,1114,29,5,228,1125,2,,6,,,24/03/2020,20:30:05+00:00
26,Europe,Ireland,,204,1317,29,5,269,1329,1,,7,,,25/03/2020,19:45:06+00:00
27,Europe,Ireland,,235,1550,39,5,317,1564,2,,9,,,26/03/2020,21:00:05+00:00
28,Europe,Ireland,,255,1795,47,5,368,1819,10,,19,,,27/03/2020,19:00:03+00:00
